FrameNum,tx,ty,tz,yaw(degrees),pitch(degrees),roll(degrees)
Frame0,286.7,340.7,254.9,-7.5762358795122315,-42.25385271464879,-170.63600333341324
Frame1,286.69,340.6,255.03,-7.494779027414532,-41.90938949996136,-170.5460943526624
Frame2,286.71,340.49,255.36,-7.504167162205978,-41.70529104775489,-170.35366994122572
Frame3,287.12,340.21,255.46,-7.544167106445153,-41.626444855407094,-170.28857671091356
Frame4,287.95,340.23,255.86,-7.539764356764088,-41.65288569236234,-170.25329084829826
Frame5,288.98,340.59,256.43,-7.306494093531495,-41.806682547691494,-170.19503171876795
Frame6,290.22,340.56,256.98,-7.274693748638948,-42.02720705483674,-170.18960869700442
Frame7,291.42,340.58,257.33,-7.2542465260080995,-42.32962532990078,-170.12712549264631
Frame8,293.32,340.32,258.2,-7.120616003108708,-42.710098351402564,-170.029466714494
Frame9,294.67,340.41,259.04,-6.992125145758285,-42.84768216383539,-169.9199565330781
Frame10,295.62,340.5,259.57,-6.944415814786054,-42.9259088545435,-169.8839021579297
Frame11,296.76,340.5,260.15,-6.864183280722455,-43.0282171020629,-169.7837325420403
Frame12,298.11,340.48,260.31,-6.726827531761224,-43.404327736335745,-169.74531478826864
Frame13,298.9,340.45,260.75,-6.845087617685112,-43.66374903702672,-169.7799126938356
Frame14,300.09,340.37,260.83,-6.853429596835643,-44.01425112882826,-169.79374377012664
Frame15,300.85,340.17,261.1,-6.8757799526498715,-44.13177902137754,-169.68822752462003
Frame16,301.65,339.9,261.58,-6.896050314634523,-44.130475554479325,-169.59315548620998
Frame17,302.49,339.9,262.04,-6.830861993138736,-44.111551620095575,-169.59092338334116
Frame18,303.7,340.0,262.9,-6.791179819142586,-44.200509555452456,-169.57990223207273
Frame19,304.49,340.29,263.42,-6.8063547477355755,-44.38687761593076,-169.6443954382337
Frame20,306.23,340.16,263.74,-6.519982598778279,-44.68444011556613,-169.57364693136805
Frame21,308.09,340.36,264.35,-6.434542499287471,-44.96405773668263,-169.67292732263883
Frame22,309.39,340.42,264.86,-6.349844859183954,-45.16097232374479,-169.67656221848947
Frame23,310.67,340.46,265.86,-6.203030804459163,-45.34812990036804,-169.612273801481
Frame24,311.65,340.72,266.17,-6.175393486737152,-45.54172646386924,-169.66357986121784
Frame25,313.05,340.74,266.52,-6.111780889340458,-45.82724980525269,-169.68652160724633
Frame26,314.27,340.7,266.64,-5.983850231207335,-46.07368924313854,-169.6788277149259
Frame27,314.81,340.7,266.82,-5.941355944168192,-46.132165191215705,-169.68134060710497
Frame28,315.57,340.69,267.49,-5.99471062070599,-46.150321691907386,-169.6493599071042
Frame29,316.34,340.63,267.73,-5.993498781777846,-46.24566412971295,-169.6632204503156
Frame30,317.51,340.9,268.0,-5.915858832626618,-46.52483418281608,-169.71293575281314
Frame31,318.37,341.17,268.21,-5.882333964934087,-46.7859054915042,-169.79886743870998
Frame32,320.05,341.2,268.87,-5.742242397150809,-47.13480170443426,-169.79714362315445
Frame33,320.99,341.34,269.3,-5.6978597670702085,-47.38552330625509,-169.78691832027724
Frame34,322.16,341.28,269.56,-5.596188606850951,-47.533213107596794,-169.76765669993713
Frame35,322.98,341.66,269.93,-5.473380050452906,-47.55153492180353,-169.8089876932797
Frame36,323.89,341.73,270.49,-5.420873893713485,-47.57567971609894,-169.79998449751685
Frame37,324.53,341.74,270.64,-5.359606953487182,-47.696841015522494,-169.76762472668713
Frame38,325.41,341.72,270.87,-5.343931843477066,-47.81657397020115,-169.79928602229387
Frame39,325.99,341.69,271.25,-5.32583540830828,-47.87376652928519,-169.7766567350885
Frame40,327.1,341.7,271.3,-5.243486225966118,-47.9892066042296,-169.80251084903946
Frame41,327.7,341.85,271.5,-5.293072562206918,-48.148253227121856,-169.8592369558659
Frame42,328.76,341.68,272.06,-5.199843816185772,-48.2378900019545,-169.76985607950593
Frame43,330.25,341.8,272.73,-4.871125475165402,-48.384852905423124,-169.69342327200934
Frame44,331.26,341.96,272.96,-4.653307458324711,-48.57121159470537,-169.6385264467398
Frame45,332.11,342.15,273.2,-4.663537605682678,-48.79492931848702,-169.66284161018922
Frame46,333.27,341.7,273.38,-4.657665844934192,-48.978446462855786,-169.54154296316867
Frame47,333.84,341.7,273.55,-4.7431837665216685,-49.05133333601083,-169.55664836432754
Frame48,335.37,341.44,273.93,-4.621815040038444,-49.12684258170183,-169.44331314426393
Frame49,336.2,341.87,274.25,-4.488615270329535,-49.10527362624176,-169.47789339429198
Frame50,337.46,342.38,274.97,-4.3210724253551955,-49.0654382234702,-169.58535230740256
Frame51,338.98,342.3,274.91,-4.274102953410145,-49.381028417852086,-169.6317170580244
Frame52,340.3,342.08,275.28,-4.445392397679002,-49.73897731847928,-169.73938410434366
Frame53,341.22,341.87,275.73,-4.4807898351981805,-49.830439534649955,-169.75206792266903
Frame54,342.27,342.0,275.8,-4.428170336550617,-49.95214017922605,-169.85243052953754
Frame55,344.55,341.98,277.15,-4.345486428042507,-50.0235569634489,-169.82191968890433
Frame56,346.12,342.66,277.11,-4.027050466002754,-50.19798576188623,-169.9481944951408
Frame57,349.02,343.8,278.02,-3.7587622701388708,-50.241498242495155,-169.97864393936337
Frame58,351.15,344.03,278.5,-3.6135679832973713,-50.341640247813444,-169.99754736359176
Frame59,352.71,344.09,278.56,-3.6130156993632556,-50.55370483989045,-170.06102597748364
Frame60,354.34,343.6,279.46,-3.818261739971375,-50.77508648628305,-170.0773149783442
Frame61,355.97,343.57,279.66,-4.194860275569491,-51.34415167993716,-170.30066221354065
Frame62,357.43,343.58,279.65,-4.33757664922746,-51.711792300120756,-170.4714802592902
Frame63,359.35,343.54,280.18,-4.22206599139644,-52.07659171688837,-170.45896754513555
Frame64,360.65,343.74,280.34,-4.372566991208316,-52.49349747680281,-170.70238022443698
Frame65,361.84,343.95,280.62,-4.358469401717247,-52.73081215613051,-170.80236299561
Frame66,363.97,344.27,280.92,-3.85191116844018,-52.96339755751677,-170.6530057680401
Frame67,365.75,344.68,281.36,-3.63679255261246,-53.017317271024694,-170.7270961929921
Frame68,367.49,344.97,281.57,-3.4425313186361586,-53.05035164022561,-170.77837570412532
Frame69,369.69,345.7,282.25,-3.2543960121270015,-53.094736669285396,-170.94900739567808
Frame70,372.15,346.11,282.42,-3.1695083397312485,-53.535998933056206,-171.04281918992416
Frame71,374.14,345.71,282.89,-3.140282948949917,-53.77651363713237,-171.02154549051482
Frame72,375.47,345.76,283.01,-3.3720249137049216,-54.09309800567862,-171.1720141945858
Frame73,377.07,345.53,283.12,-3.4171348450346084,-54.402145631603084,-171.21703918346228
Frame74,377.87,345.5,283.49,-3.4560351260157747,-54.47084131140761,-171.2614047230607
Frame75,379.46,345.56,283.54,-3.5226228955219594,-54.74607720490481,-171.4136884891789
Frame76,380.22,345.52,283.72,-3.571329532885622,-54.84112857383123,-171.5117463790845
Frame77,381.56,345.46,283.71,-3.7298886434400407,-55.06712519350677,-171.64759599795977
Frame78,382.96,345.48,284.1,-3.7426510609821952,-55.21492423837286,-171.71330714878832
Frame79,385.29,345.8,284.2,-3.4841919128408154,-55.36942166310549,-171.8133099547788
Frame80,387.27,345.97,284.91,-3.2006761150530854,-55.354877878127425,-171.71719868935804
Frame81,389.8,347.15,284.99,-2.867571453492736,-55.562885269158116,-171.92702211653355
Frame82,391.41,347.56,285.45,-2.791369267225495,-55.61072590870548,-171.9316001917654
Frame83,394.08,347.22,286.18,-2.671689670296885,-55.859938174988514,-171.69335719408204
Frame84,396.27,346.97,285.94,-2.6797711666600694,-56.161437868402395,-171.68507362859847
Frame85,397.98,346.75,286.2,-2.64486481754551,-56.412551913119884,-171.6317605131165
Frame86,400.06,346.99,286.3,-2.576670954493142,-56.64385412965779,-171.67134841986103
Frame87,402.29,347.28,286.23,-2.3683044044355843,-56.877179618946364,-171.64045885436133
Frame88,403.82,347.4,286.5,-2.367215156713446,-57.07249654406473,-171.67789843606667
Frame89,405.73,347.3,286.43,-2.315784234771147,-57.2733951444577,-171.71493661371906
Frame90,407.16,347.5,286.41,-2.2772517634722598,-57.66730425857111,-171.8516019602509
Frame91,408.46,347.47,286.68,-2.3578930211571976,-57.92033864708957,-171.89966024905274
Frame92,410.63,347.6,286.73,-2.5313336289573845,-58.3806020518338,-172.16717791931973
Frame93,412.25,347.77,287.34,-2.677404436588686,-58.60461690897963,-172.47867157877167
Frame94,414.16,348.11,287.12,-2.5705755513310393,-58.88090701508158,-172.61176096237878
Frame95,416.12,348.87,287.3,-2.6094006022643734,-59.212409913109326,-173.0006004547842
Frame96,419.59,348.79,287.61,-2.814672131913458,-59.652628816451305,-173.12564031642978
Frame97,421.23,348.94,288.16,-3.1702068252001094,-60.08930846672949,-173.4637560071831
Frame98,422.9,349.22,287.92,-3.348386503129528,-60.61081907000625,-173.74608532787076
Frame99,425.14,349.88,287.7,-3.679327638231563,-61.5835608030142,-174.36002107163654
Frame100,427.76,350.12,287.32,-4.2744167957822565,-62.58801533561832,-174.98944494055425
Frame101,431.84,350.65,287.27,-4.610611441733924,-63.68637320398418,-175.66224009132998
Frame102,434.78,351.48,287.96,-4.8937573021654135,-64.19684380057497,-176.08964356206047
Frame103,437.47,352.18,287.74,-5.188974637614547,-64.80965414273494,-176.57075411416582
Frame104,440.37,353.83,287.43,-5.322926347340354,-65.37881047816096,-177.2449367212137
Frame105,442.08,354.8,286.55,-5.741076817626138,-66.15632617120964,-177.90990459956416
Frame106,444.42,355.0,285.99,-6.22505245249657,-67.2710151042219,-178.3789907951862
Frame107,445.8,355.09,285.49,-6.363624913722919,-67.99320648236801,-178.54546011003703
Frame108,447.99,354.64,285.56,-6.504330498427243,-68.95656561551378,-178.41668660241103
Frame109,450.71,354.3,284.6,-6.638094194351116,-69.98197543209791,-178.56821767320315
Frame110,452.24,354.3,284.7,-6.894248048808774,-70.23000504363421,-178.71419440306965
Frame111,454.17,353.64,284.86,-7.138895364770051,-70.39557920994547,-178.96064134332812
Frame112,455.87,354.18,284.64,-7.7956754321791095,-70.79114631072648,-179.7934739191026
Frame113,457.73,354.38,284.5,-8.073918825127512,-71.18593460211248,179.8699126980747
Frame114,459.23,354.53,284.17,-8.168206807646094,-71.48228575631909,179.69379532899814
Frame115,460.58,354.5,284.1,-8.270552916192097,-71.60245936881844,179.58006265382153
Frame116,461.7,355.1,284.2,-8.489966774133116,-71.81231424546635,179.12887098025962
Frame117,462.59,355.4,283.94,-8.498197226110163,-71.87336863581821,178.9281760412484
Frame118,463.21,355.01,284.49,-8.489618540283722,-71.8553779992151,179.0701877325102
Frame119,463.58,355.1,284.17,-8.874071849651214,-71.99514095434708,178.78883697765968
Frame120,464.46,354.35,284.0,-8.754816973342121,-72.11674993942022,179.0708723634767
Frame121,465.12,354.54,283.59,-8.9667411820097,-72.22269486518054,178.84391358286268
Frame122,466.18,354.45,283.4,-8.96391534106435,-72.27789811655707,178.79075330555696
Frame123,466.88,354.64,284.06,-8.975555862729536,-72.19895350011306,178.74526287038003
Frame124,468.0,354.83,283.58,-8.840202478318346,-72.28152662428764,178.7512410567777
Frame125,468.74,354.79,284.01,-8.949277024893789,-72.2345781309687,178.63399481578242
Frame126,469.67,354.69,283.72,-9.003267772259024,-72.32828020992612,178.5454648699139
Frame127,470.57,355.04,283.27,-9.144159787121076,-72.47396323913851,178.2732282698861
Frame128,471.21,355.03,283.69,-9.030901960815136,-72.4606239004293,178.35980577424064
Frame129,472.22,355.0,283.73,-8.813205853281971,-72.56642718998248,178.47730587845118
Frame130,473.37,355.09,283.29,-8.760792644388944,-72.78514439821718,178.40846207890897
Frame131,473.93,355.42,283.03,-8.833635854940358,-72.92199821763987,178.24655724089885
Frame132,474.35,355.7,283.05,-8.84975802373548,-73.0236184724201,178.12787891260047
Frame133,475.27,355.7,283.23,-8.857017571382471,-73.25147981703314,178.10274818393606
Frame134,476.31,355.64,283.23,-8.82577150434219,-73.43557741148571,178.05678922788218
Frame135,476.95,355.57,283.05,-8.915973379550511,-73.57562470000563,178.0576841833064
Frame136,477.64,355.65,282.89,-8.989648114595775,-73.62717757298009,177.96362075048927
Frame137,478.46,355.42,283.1,-8.768455059838713,-73.57475479056531,178.1536141479376
Frame138,479.68,355.13,282.61,-8.68095621483915,-73.60511228138449,178.22851793437727
Frame139,480.72,355.0,282.64,-8.581493658114015,-73.58791396837215,178.35039231093592
Frame140,481.6,354.6,282.4,-8.521986314497084,-73.59892674193728,178.47622910226443
Frame141,482.16,354.31,282.89,-8.524903969612325,-73.61250835302192,178.59984958571533
Frame142,482.74,354.59,282.78,-8.597924148186886,-73.67889069570266,178.51084609087366
Frame143,483.72,354.28,282.35,-8.470570518382829,-73.85670744030583,178.5817435380056
Frame144,484.3,354.6,282.1,-8.384979987179474,-73.95015493791298,178.52678204430833
Frame145,484.77,354.6,282.11,-8.507430522101787,-74.00048031439742,178.4081697485309
Frame146,485.7,354.65,281.6,-8.46869894894976,-74.2384199631748,178.35798655680176
Frame147,486.98,354.79,281.54,-8.129465370352209,-74.4702537612049,178.5123302536953
Frame148,487.46,355.16,281.69,-8.095959038433548,-74.45713444953707,178.43967033256672
Frame149,488.46,355.1,281.6,-7.880042761775981,-74.55505085516873,178.5747759437641
Frame150,489.5,355.4,281.89,-7.988115082132674,-74.6587610854985,178.3433539668992
Frame151,490.58,355.1,281.61,-7.743857868842235,-74.8781902625216,178.55268570419616
Frame152,491.32,355.08,281.2,-8.010652702125734,-75.0599415974324,178.34305130197862
Frame153,492.2,354.6,280.91,-7.9935386685593945,-75.20720035040988,178.52391315108866
Frame154,492.32,354.3,281.47,-8.032403018763944,-75.20156600544102,178.60828153360583
Frame155,493.87,354.56,280.79,-8.170968454992176,-75.3781069128889,178.3970116392797
Frame156,495.09,354.63,280.84,-8.03015377435301,-75.39391609353325,178.4394403830073
Frame157,496.47,355.17,280.73,-7.879334672697118,-75.4724204144196,178.3738049156135
Frame158,497.8,355.01,280.72,-7.6321128389805954,-75.53828299346203,178.57119470426704
Frame159,499.29,355.47,280.49,-7.86836748435909,-75.73524519609542,178.25913530477928
Frame160,500.78,355.43,280.14,-7.734936099552459,-76.0220488879609,178.32937596190143
Frame161,502.36,355.58,279.32,-7.960022371653793,-76.48257709000829,178.07558794863525
Frame162,503.45,355.28,279.17,-7.986574895138543,-76.82086189979691,178.2121551109969
Frame163,504.58,354.93,279.23,-7.687372385533959,-76.95231466792909,178.55617527634462
Frame164,505.71,354.9,278.93,-7.856585272183577,-77.10014482300434,178.42622026127574
Frame165,506.89,354.56,279.13,-7.734124702050755,-77.11537446041442,178.53508250932194
Frame166,508.66,355.15,277.46,-8.300072164716218,-77.46808119210574,177.66430880376376
Frame167,508.9,355.0,278.1,-8.617272302625326,-77.27411661651131,177.47990313417773
Frame168,509.67,354.9,277.9,-9.062165837024368,-77.29060994857613,177.12144712899152
Frame169,510.71,354.46,278.45,-8.99372275670356,-77.19019952393795,177.39047467329502
Frame170,512.75,354.19,277.61,-8.716163941489615,-77.46359339944163,177.54710141909874
Frame171,514.55,355.01,276.8,-8.779086240009326,-77.7133727716102,177.28060652859762
Frame172,515.88,354.9,277.03,-8.394602110736269,-77.7538201132685,177.6043351722975
Frame173,518.64,355.82,276.34,-7.563226276763798,-77.80968251451478,178.04500373468136
Frame174,519.74,356.0,276.94,-6.934600605955916,-77.77736721631119,178.56167156468354
Frame175,521.63,356.16,276.44,-6.336899456254096,-77.94276745248725,179.10226082125962
Frame176,522.64,356.11,276.04,-6.076057495789276,-78.04499372620343,179.3575576988168
Frame177,524.29,355.6,276.17,-5.803256219172603,-78.16876493553087,179.83405107156895
Frame178,526.21,355.31,275.33,-5.80820420970498,-78.49210511808448,179.9302518518486
Frame179,527.58,355.2,274.66,-5.874292778662497,-78.71563990740077,179.8754130669837
Frame180,530.2,353.97,274.63,-4.989837350078145,-79.18751206577859,-179.09904120265173
Frame181,531.25,354.61,274.17,-5.836816359163373,-79.60791190664209,179.95063524082846
Frame182,532.87,355.16,273.28,-6.306866359859879,-80.1499671681203,179.26773096134997
Frame183,536.17,354.32,272.85,-5.459746140382462,-80.88552994664819,-179.86350856422254
Frame184,537.52,354.6,272.04,-6.176847002436201,-81.37860178178245,179.37945756401166
Frame185,539.85,354.15,271.32,-6.293299569604298,-81.8068245083641,179.17552526175547
Frame186,541.74,353.87,270.84,-6.329969411668319,-82.08666651371732,179.03438667645096
Frame187,542.94,354.0,270.3,-6.803327105587148,-82.14225352023372,178.40934902535733
Frame188,545.25,353.6,269.92,-6.758658376501924,-82.45353214795094,178.4870328781552
Frame189,547.46,353.45,269.83,-6.601576126841253,-82.99285940781277,178.73370524025518
Frame190,547.46,353.45,269.83,-6.601576126841253,-82.99285940781277,178.73370524025518
