Frame_Pair,Delta_tx,Delta_ty,Delta_tz,Delta_yaw(degrees),Delta_pitch(degrees),Delta_roll(degrees)
Frame0_to_Frame1,-0.01,-0.1,0.13,-0.021264924,-0.350235348,-0.021045391
Frame1_to_Frame2,0.02,-0.11,0.33,0.137441319,-0.221211146,-0.115301094
Frame2_to_Frame3,0.41,-0.28,0.1,0.083245079,-0.084562212,-0.037822313
Frame3_to_Frame4,0.83,0.02,0.4,0.019048601,0.022745987,-0.029616548
Frame4_to_Frame5,1.03,0.36,0.57,-0.194411403,0.146997316,-0.062734619
Frame5_to_Frame6,1.24,-0.03,0.55,-0.028116656,0.218237385,-0.031934167
Frame6_to_Frame7,1.2,0.02,0.35,0.021722929,0.294119752,-0.084228604
Frame7_to_Frame8,1.9,-0.26,0.87,-0.067245795,0.368547451,-0.118800508
Frame8_to_Frame9,1.35,0.09,0.84,-0.054007829,0.126713109,-0.096611425
Frame9_to_Frame10,0.95,0.09,0.53,-0.023149254,0.074451175,-0.035697305
Frame10_to_Frame11,1.14,0,0.58,-0.011877471,0.092765242,-0.085044327
Frame11_to_Frame12,1.35,-0.02,0.16,-0.110816442,0.370225277,-0.071947174
Frame12_to_Frame13,0.79,-0.03,0.44,0.094443048,0.26056283,-0.005961548
Frame13_to_Frame14,1.19,-0.08,0.08,-0.001140761,0.349190744,-0.03189164
Frame14_to_Frame15,0.76,-0.2,0.27,0.095828723,0.107549725,-0.089402471
Frame15_to_Frame16,0.8,-0.27,0.48,0.086463681,-0.009526278,-0.067582119
Frame16_to_Frame17,0.84,0,0.46,-0.063634275,-0.018980179,0.00066006
Frame17_to_Frame18,1.21,0.1,0.86,-0.03199066,0.087397529,-0.018376841
Frame18_to_Frame19,0.79,0.29,0.52,-0.029902704,0.190516111,0.023824689
Frame19_to_Frame20,1.74,-0.13,0.32,-0.236539761,0.289875075,-0.084018799
Frame20_to_Frame21,1.86,0.2,0.61,-0.155523259,0.285723906,0.03881197
Frame21_to_Frame22,1.3,0.06,0.51,-0.087237829,0.195990925,-0.019222521
Frame22_to_Frame23,1.28,0.04,1,-0.101050498,0.181145712,-0.065286559
Frame23_to_Frame24,0.98,0.26,0.31,-0.064222602,0.196340553,0.015024247
Frame24_to_Frame25,1.4,0.02,0.35,-0.079991605,0.285608915,-0.014422225
Frame25_to_Frame26,1.22,-0.04,0.12,-0.122334542,0.244537492,-0.031023107
Frame26_to_Frame27,0.54,0,0.18,-0.044302845,0.058342256,-0.004318961
Frame27_to_Frame28,0.76,-0.01,0.67,0.07641765,0.015738195,-0.02393708
Frame28_to_Frame29,0.77,-0.06,0.24,-0.011215156,0.095823053,-0.000405485
Frame29_to_Frame30,1.17,0.27,0.27,-0.113646969,0.281216175,0.005426226
Frame30_to_Frame31,0.86,0.27,0.21,-0.096092196,0.265723955,0.032060742
Frame31_to_Frame32,1.68,0.03,0.66,-0.138722383,0.347027344,-0.0360831
Frame32_to_Frame33,0.94,0.14,0.43,-0.036803639,0.248791775,-0.031814123
Frame33_to_Frame34,1.17,-0.06,0.26,-0.087444406,0.145712535,-0.027381291
Frame34_to_Frame35,0.82,0.38,0.37,-0.153306351,0.020892569,0.026031029
Frame35_to_Frame36,0.91,0.07,0.56,-0.04585985,0.023462406,-0.008330272
Frame36_to_Frame37,0.64,0.01,0.15,-0.037322672,0.118587944,-0.033051852
Frame37_to_Frame38,0.88,-0.02,0.23,-0.039124526,0.121192867,0.010066341
Frame38_to_Frame39,0.58,-0.03,0.38,-0.00131067,0.05553298,-0.020438498
Frame39_to_Frame40,1.11,0.01,0.05,-0.101548677,0.116538967,0.006719898
Frame40_to_Frame41,0.6,0.15,0.2,0.007352406,0.161856787,0.023132541
Frame41_to_Frame42,1.06,-0.17,0.56,-0.026555239,0.08382858,-0.067510674
Frame42_to_Frame43,1.49,0.12,0.67,-0.271562184,0.142084018,-0.063200739
Frame43_to_Frame44,1.01,0.16,0.23,-0.176634547,0.182773624,-0.051455882
Frame44_to_Frame45,0.85,0.19,0.24,-0.008028041,0.224282624,-0.002153159
Frame45_to_Frame46,1.16,-0.45,0.18,0.085661561,0.176358922,-0.094539541
Frame46_to_Frame47,0.57,0,0.17,0.074112683,0.07345609,0.003853466
Frame47_to_Frame48,1.53,-0.26,0.38,-0.035669613,0.06922314,-0.080116374
Frame48_to_Frame49,0.83,0.43,0.32,-0.159339541,-0.019736991,0.024247861
Frame49_to_Frame50,1.26,0.51,0.72,-0.248726061,-0.034471296,0.073155453
Frame50_to_Frame51,1.52,-0.08,-0.06,-0.082098513,0.316967248,0.006774153
Frame51_to_Frame52,1.32,-0.22,0.37,0.089211959,0.362254961,0.042143785
Frame52_to_Frame53,0.92,-0.21,0.45,0.025710947,0.091822382,0.001026714
Frame53_to_Frame54,1.05,0.13,0.07,-0.129440012,0.126292546,0.055152884
Frame54_to_Frame55,2.28,-0.02,1.35,-0.059300202,0.069720001,-0.024986061
Frame55_to_Frame56,1.57,0.68,-0.04,-0.415432611,0.179627062,0.068683242
Frame56_to_Frame57,2.9,1.14,0.91,-0.291695192,0.044692708,0.016597652
Frame57_to_Frame58,2.13,0.23,0.48,-0.159741859,0.100703353,0.00575418
Frame58_to_Frame59,1.56,0.06,0.06,-0.049547727,0.214178811,0.027069648
Frame59_to_Frame60,1.63,-0.49,0.9,0.192655885,0.221578289,-0.00441583
Frame60_to_Frame61,1.63,-0.03,0.2,0.202376399,0.577658053,0.099253624
Frame61_to_Frame62,1.46,0.01,-0.01,0.008723255,0.374533266,0.078599878
Frame62_to_Frame63,1.92,-0.04,0.53,-0.105555053,0.363237932,-0.034589888
Frame63_to_Frame64,1.3,0.2,0.16,-0.042492691,0.426847186,0.117404642
Frame64_to_Frame65,1.19,0.21,0.28,-0.093628237,0.241212525,0.042667191
Frame65_to_Frame66,2.13,0.32,0.3,-0.387307586,0.225890165,-0.105859543
Frame66_to_Frame67,1.78,0.41,0.44,-0.274302681,0.05661885,0.041117925
Frame67_to_Frame68,1.74,0.29,0.21,-0.235241845,0.034816113,0.028809774
Frame68_to_Frame69,2.2,0.73,0.68,-0.324581388,0.050014288,0.099890668
Frame69_to_Frame70,2.46,0.41,0.17,-0.160242609,0.443665004,0.031852986
Frame70_to_Frame71,1.99,-0.4,0.47,-0.012035984,0.239459036,-0.02580003
Frame71_to_Frame72,1.33,0.05,0.12,0.109913841,0.321171949,0.070148998
Frame72_to_Frame73,1.6,-0.23,0.11,0.008548299,0.310063665,0.007938806
Frame73_to_Frame74,0.8,-0.03,0.37,0.002796938,0.070119415,0.021637232
Frame74_to_Frame75,1.59,0.06,0.05,-0.057730922,0.280057415,0.071423028
Frame75_to_Frame76,0.76,-0.04,0.18,-0.031457994,0.098352887,0.050570876
Frame76_to_Frame77,1.34,-0.06,-0.01,0.047212327,0.230531063,0.063366412
Frame77_to_Frame78,1.4,0.02,0.39,-0.041194162,0.149922284,0.027900685
Frame78_to_Frame79,2.33,0.32,0.1,-0.340733588,0.157638174,0.047559475
Frame79_to_Frame80,1.98,0.17,0.71,-0.204447439,-0.01760825,-0.053719049
Frame80_to_Frame81,2.53,1.18,0.08,-0.506143281,0.213534491,0.108737002
Frame81_to_Frame82,1.61,0.41,0.46,-0.07997913,0.047909869,0.000256034
Frame82_to_Frame83,2.67,-0.34,0.73,0.077524783,0.242437684,-0.146023115
Frame83_to_Frame84,2.19,-0.25,-0.24,0.014998989,0.300952349,-0.018740232
Frame84_to_Frame85,1.71,-0.22,0.26,0.009530896,0.249465092,-0.041243569
Frame85_to_Frame86,2.08,0.24,0.1,-0.101239724,0.232046613,0.011480175
Frame86_to_Frame87,2.23,0.29,-0.07,-0.182476897,0.232420511,-0.02661159
Frame87_to_Frame88,1.53,0.12,0.27,-0.032500974,0.195989655,0.01237382
Frame88_to_Frame89,1.91,-0.1,-0.07,-0.082575652,0.201542581,0.011999264
Frame89_to_Frame90,1.43,0.2,-0.02,-0.153958825,0.396459535,0.058179579
Frame90_to_Frame91,1.3,-0.03,0.27,0.039943491,0.253868503,0.015271846
Frame91_to_Frame92,2.17,0.13,0.05,-0.054295118,0.465807262,0.121627835
Frame92_to_Frame93,1.62,0.17,0.61,-0.119808704,0.231020356,0.152683876
Frame93_to_Frame94,1.91,0.34,-0.22,-0.2207387,0.279052773,0.056874093
Frame94_to_Frame95,1.96,0.76,0.18,-0.295190657,0.339723103,0.185687631
Frame95_to_Frame96,3.47,-0.08,0.31,0.097444059,0.442770581,0.042312493
Frame96_to_Frame97,1.64,0.15,0.55,0.062528304,0.445022629,0.146447165
Frame97_to_Frame98,1.67,0.28,-0.24,-0.067693116,0.528541624,0.110105364
Frame98_to_Frame99,2.24,0.66,-0.22,-0.20860041,0.988656054,0.238362854
Frame99_to_Frame100,2.62,0.24,-0.38,0.036877833,1.022531613,0.223972385
Frame100_to_Frame101,4.08,0.53,-0.05,-0.26618159,1.118080477,0.220624802
Frame101_to_Frame102,2.94,0.83,0.69,-0.101479368,0.524138917,0.145282545
Frame102_to_Frame103,2.69,0.7,-0.22,-0.139884681,0.628447295,0.153216719
Frame103_to_Frame104,2.9,1.65,-0.31,-0.47874544,0.591794509,0.23306243
Frame104_to_Frame105,1.71,0.97,-0.88,-0.189623147,0.799867211,0.198033022
Frame105_to_Frame106,2.34,0.2,-0.56,0.052413355,1.127969093,0.067732608
Frame106_to_Frame107,1.38,0.09,-0.5,-0.015272769,0.724784816,-0.016113014
Frame107_to_Frame108,2.19,-0.45,0.07,0.261806796,0.951640572,-0.157081609
Frame108_to_Frame109,2.72,-0.34,-0.96,-0.00757177,1.024758497,-0.064484809
Frame109_to_Frame110,1.53,0,0.1,0.118844476,0.252175049,0.019843467
Frame110_to_Frame111,1.93,-0.66,0.16,0.012511312,0.174482544,0.062157579
Frame111_to_Frame112,1.7,0.54,-0.22,-0.129575088,0.427913624,0.22345558
Frame112_to_Frame113,1.86,0.2,-0.14,-0.040203137,0.406125258,0.054248442
Frame113_to_Frame114,1.5,0.15,-0.33,-0.072603508,0.301332646,0.01412789
Frame114_to_Frame115,1.35,-0.03,-0.07,-0.005555993,0.124086087,0.018463824
Frame115_to_Frame116,1.12,0.6,0.1,-0.209196996,0.228051694,0.109935397
Frame116_to_Frame117,0.89,0.3,-0.26,-0.182503125,0.069538193,0.052948088
Frame117_to_Frame118,0.62,-0.39,0.55,0.126369483,-0.024367622,-0.041034618
Frame118_to_Frame119,0.37,0.09,-0.32,0.116900297,0.15140394,0.065039678
Frame119_to_Frame120,0.88,-0.75,-0.17,0.149159342,0.106721471,-0.104639231
Frame120_to_Frame121,0.66,0.19,-0.41,-0.004186054,0.115382929,0.052350145
Frame121_to_Frame122,1.06,-0.09,-0.19,-0.053459256,0.057050911,0.007432335
Frame122_to_Frame123,0.7,0.19,0.66,-0.031664385,-0.075822745,0.025994979
Frame123_to_Frame124,1.12,0.19,-0.48,-0.129649808,0.081311265,-0.014495665
Frame124_to_Frame125,0.74,-0.04,0.43,-0.002580141,-0.040860502,0.042557065
Frame125_to_Frame126,0.93,-0.1,-0.29,-0.030349772,0.096755157,0.012019118
Frame126_to_Frame127,0.9,0.35,-0.45,-0.118683232,0.156780001,0.058468564
Frame127_to_Frame128,0.64,-0.01,0.42,-0.030705833,-0.017284958,-0.023651892
Frame128_to_Frame129,1.01,-0.03,0.04,-0.105581604,0.099094553,-0.051197132
Frame129_to_Frame130,1.15,0.09,-0.44,-0.118109296,0.219295186,-0.012925985
Frame130_to_Frame131,0.56,0.33,-0.26,-0.081898557,0.142524943,0.026342185
Frame131_to_Frame132,0.42,0.28,0.02,-0.097371405,0.105738245,0.018809406
Frame132_to_Frame133,0.92,0,0.18,-0.016735745,0.226272483,-0.027833405
Frame133_to_Frame134,1.04,-0.06,0,-0.075252335,0.183944794,-0.015158157
Frame134_to_Frame135,0.64,-0.07,-0.18,0.091086505,0.138315505,-0.021957448
Frame135_to_Frame136,0.69,0.08,-0.16,-0.016571043,0.055054785,0.018217524
Frame136_to_Frame137,0.82,-0.23,0.21,-0.038952343,-0.060058509,-0.044926138
Frame137_to_Frame138,1.22,-0.29,-0.49,-0.015640342,0.026799829,-0.025517383
Frame138_to_Frame139,1.04,-0.13,0.03,0.017445062,-0.022173463,-0.031443117
Frame139_to_Frame140,0.88,-0.4,-0.24,0.061207366,0.005585376,-0.036788248
Frame140_to_Frame141,0.56,-0.29,0.49,0.12151462,0.008221479,-0.036527706
Frame141_to_Frame142,0.58,0.28,-0.11,-0.012391174,0.069371861,0.01490721
Frame142_to_Frame143,0.98,-0.31,-0.43,-0.05921304,0.17293055,-0.045897365
Frame143_to_Frame144,0.58,0.32,-0.25,-0.138398552,0.094670041,0.001492347
Frame144_to_Frame145,0.47,0,0.01,0.008435253,0.054590703,0.024992122
Frame145_to_Frame146,0.93,0.05,-0.51,-0.086955345,0.237376521,-0.02135924
Frame146_to_Frame147,1.28,0.14,-0.06,-0.190463432,0.223521553,-0.074280293
Frame147_to_Frame148,0.48,0.37,0.15,-0.103509438,-0.01026061,0.021109263
Frame148_to_Frame149,1,-0.06,-0.09,-0.085680946,0.091987665,-0.049279625
Frame149_to_Frame150,1.04,0.3,0.29,-0.115093298,0.111149699,0.046636775
Frame150_to_Frame151,1.08,-0.3,-0.28,-0.042123844,0.209868763,-0.084431413
Frame151_to_Frame152,0.74,-0.02,-0.41,0.064285414,0.187503264,0.028839301
Frame152_to_Frame153,0.88,-0.48,-0.29,0.157774901,0.139273362,-0.066642883
Frame153_to_Frame154,0.12,-0.3,0.56,0.120433783,-0.008604282,-0.020540503
Frame154_to_Frame155,1.55,0.26,-0.68,-0.06582495,0.182322992,0.028337054
Frame155_to_Frame156,1.22,0.07,0.05,-0.099757025,0.014154147,-0.012813568
Frame156_to_Frame157,1.38,0.54,-0.11,-0.214348662,0.080023061,0.005634491
Frame157_to_Frame158,1.33,-0.16,-0.01,-0.056085142,0.058621164,-0.057812111
Frame158_to_Frame159,1.49,0.46,-0.23,-0.06614123,0.205572748,0.050262332
Frame159_to_Frame160,1.49,-0.04,-0.35,-0.065175979,0.281854482,-0.055750184
Frame160_to_Frame161,1.58,0.15,-0.82,-0.02142081,0.464449642,-0.003044792
Frame161_to_Frame162,1.09,-0.3,-0.15,0.159657606,0.330531691,-0.078609269
Frame162_to_Frame163,1.13,-0.35,0.06,0.035946283,0.119551944,-0.095283654
Frame163_to_Frame164,1.13,-0.03,-0.3,0.042563502,0.15042085,0.008860469
Frame164_to_Frame165,1.18,-0.34,0.2,-0.016339892,0.011798154,-0.026128668
Frame165_to_Frame166,1.77,0.59,-1.67,-0.283963116,0.375616769,0.141426908
Frame166_to_Frame167,0.24,-0.15,0.64,0.137366911,-0.185841748,0.068633322
Frame167_to_Frame168,0.77,-0.1,-0.2,0.095212786,0.028486609,0.075417214
Frame168_to_Frame169,1.04,-0.44,0.55,0.193900553,-0.108562328,-0.042741917
Frame169_to_Frame170,2.04,-0.27,-0.84,-0.1245723,0.264928175,-0.075749126
Frame170_to_Frame171,1.8,0.82,-0.81,-0.197387523,0.25555178,0.019065216
Frame171_to_Frame172,1.33,-0.11,0.23,-0.068126818,0.029768621,-0.074028931
Frame172_to_Frame173,2.76,0.92,-0.69,-0.400651641,0.04272553,-0.099963677
Frame173_to_Frame174,1.1,0.18,0.6,-0.123680128,-0.045728218,-0.104340226
Frame174_to_Frame175,1.89,0.16,-0.5,-0.069026282,0.151232814,-0.131945893
Frame175_to_Frame176,1.01,-0.05,-0.4,-0.011076066,0.095891665,-0.063837157
Frame176_to_Frame177,1.65,-0.51,0.13,0.193572848,0.112757236,-0.110670033
Frame177_to_Frame178,1.92,-0.29,-0.84,0.099306733,0.319667992,-0.052343375
Frame178_to_Frame179,1.37,-0.11,-0.67,0.012354245,0.223475586,-0.011994402
Frame179_to_Frame180,2.62,-1.23,-0.03,0.123039387,0.450872031,-0.240803252
Frame180_to_Frame181,1.05,0.64,-0.46,-0.087639024,0.434903164,0.134743418
Frame181_to_Frame182,1.62,0.55,-0.89,-0.202538258,0.551588134,0.062972753
Frame182_to_Frame183,3.3,-0.84,-0.43,0.011151172,0.716976902,-0.217834843
Frame183_to_Frame184,1.35,0.28,-0.81,-0.031181273,0.502333688,0.066254273
Frame184_to_Frame185,2.33,-0.45,-0.72,-0.085227694,0.428939743,-0.016548971
Frame185_to_Frame186,1.89,-0.28,-0.48,-0.103050726,0.280329181,-0.010859898
Frame186_to_Frame187,1.2,0.13,-0.54,-0.145814577,0.064927587,0.078914698
Frame187_to_Frame188,2.31,-0.4,-0.38,0.032441318,0.307858431,-0.047179924
Frame188_to_Frame189,2.21,-0.15,-0.09,0.088043284,0.531957957,-0.094179348
Frame189_to_Frame190,0,0,0,0,0,0
